Date,Name,Year,Letterboxd URI,Rating
2020-06-18,Sicario,2015,https://boxd.it/8i7u,4
2020-06-18,Blade Runner 2049,2017,https://boxd.it/b8wK,5
2020-06-18,The Departed,2006,https://boxd.it/28MA,4.5
2020-06-18,La La Land,2016,https://boxd.it/a5fa,5
2020-06-20,Shoplifters,2018,https://boxd.it/ifY6,3.5
2020-06-20,The Favourite,2018,https://boxd.it/d2hI,4.5
2020-06-20,Hunt for the Wilderpeople,2016,https://boxd.it/cTgG,3.5
2020-06-20,Gone Girl,2014,https://boxd.it/6hQu,4.5
2020-06-20,Shame,2011,https://boxd.it/2CxU,3
2020-06-20,It Comes at Night,2017,https://boxd.it/eLuk,3.5
2020-06-20,Cats,2019,https://boxd.it/jydK,0.5
2020-06-20,The Nice Guys,2016,https://boxd.it/94Hg,4.5
2020-06-20,The Amazing Spider-Man,2012,https://boxd.it/27PI,1
2020-06-20,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,1
2020-06-20,Ad Astra,2019,https://boxd.it/ePzI,4
2020-06-20,Gravity,2013,https://boxd.it/GZY,2
2020-06-20,Raw,2016,https://boxd.it/dLd2,3
2020-06-20,Good Time,2017,https://boxd.it/fcFu,4.5
2020-06-20,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo,3
2020-06-20,10 Cloverfield Lane,2016,https://boxd.it/aZiu,3.5
2020-06-20,Eighth Grade,2018,https://boxd.it/hDMG,4.5
2020-06-20,The Handmaiden,2016,https://boxd.it/948A,5
2020-06-20,Mission: Impossible - Fallout,2018,https://boxd.it/bSVc,4
2020-06-20,Ingrid Goes West,2017,https://boxd.it/evUQ,3.5
2020-06-20,Se7en,1995,https://boxd.it/29zs,4.5
2020-06-20,Raging Bull,1980,https://boxd.it/28yI,3
2020-06-20,Batman Begins,2005,https://boxd.it/2aIg,3
2020-06-20,Road Trip,2000,https://boxd.it/1Z4a,1
2020-06-20,Jojo Rabbit,2019,https://boxd.it/iEBG,4
2020-06-20,House,1977,https://boxd.it/1vsm,4.5
2020-06-20,The Fundamentals of Caring,2016,https://boxd.it/aiai,2.5
2020-06-20,Estômago: A Gastronomic Story,2007,https://boxd.it/2hnO,4
2020-06-20,Don't Look Now,1973,https://boxd.it/29fC,3.5
2020-06-21,Superbad,2007,https://boxd.it/20hO,4
2020-06-21,Moonlight,2016,https://boxd.it/d6bE,4
2020-06-21,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,1.5
2020-06-22,Aquarius,2016,https://boxd.it/d6YQ,3
2020-06-22,Shazam!,2019,https://boxd.it/8WBu,3
2020-06-23,Zodiac,2007,https://boxd.it/27MO,4.5
2020-06-23,God Help the Girl,2014,https://boxd.it/7dCq,3.5
2020-06-24,The Notebook,2004,https://boxd.it/1UNE,3
2020-06-24,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa,4
2020-06-24,Ready or Not,2019,https://boxd.it/kOf0,3.5
2020-06-27,Watchmen,2009,https://boxd.it/1QE4,2.5
2020-06-28,BlacKkKlansman,2018,https://boxd.it/hxL8,3.5
2020-06-28,Us,2019,https://boxd.it/gnV6,3
2020-06-28,Her,2013,https://boxd.it/4O24,4.5
2020-06-28,Interstellar,2014,https://boxd.it/4VZ8,3
2020-06-28,Django Unchained,2012,https://boxd.it/2cCk,4
2020-06-28,The Matrix,1999,https://boxd.it/2a1m,4.5
2020-06-28,Baby Driver,2017,https://boxd.it/bhF2,4.5
2020-06-28,Hot Fuzz,2007,https://boxd.it/2416,4.5
2020-06-28,Mad Max: Fury Road,2015,https://boxd.it/2DjO,4
2020-06-28,It Follows,2014,https://boxd.it/87wo,4
2020-06-28,Okja,2017,https://boxd.it/dvXe,2.5
2020-06-28,John Wick: Chapter 2,2017,https://boxd.it/ayGu,3.5
2020-06-28,Zootopia,2016,https://boxd.it/84xS,3
2020-06-28,The Shining,1980,https://boxd.it/29Nu,4.5
2020-06-28,Shaun of the Dead,2004,https://boxd.it/29J8,4.5
2020-06-28,Boyhood,2014,https://boxd.it/3178,4
2020-06-28,Pan's Labyrinth,2006,https://boxd.it/28No,4
2020-06-28,Donnie Darko,2001,https://boxd.it/2b2A,3
2020-06-28,Your Name.,2016,https://boxd.it/cUqs,3
2020-06-28,Tangled,2010,https://boxd.it/15gO,3
2020-06-28,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4.5
2020-06-28,Lion,2016,https://boxd.it/b2La,2
2020-06-28,The Shawshank Redemption,1994,https://boxd.it/2aHi,4.5
2020-06-29,Uncut Gems,2019,https://boxd.it/gXGc,4
2020-06-29,Marriage Story,2019,https://boxd.it/hJAw,4.5
2020-06-29,The Two Popes,2019,https://boxd.it/k8Xk,3
2020-06-29,Hereditary,2018,https://boxd.it/hNVe,4
2020-06-29,"Hail, Caesar!",2016,https://boxd.it/881G,2.5
2020-06-29,The Town,2010,https://boxd.it/1zyS,3
2020-06-29,Manchester by the Sea,2016,https://boxd.it/b2L0,4
2020-06-29,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,5
2020-06-29,The Breakfast Club,1985,https://boxd.it/27q4,4
2020-06-30,Warrior,2011,https://boxd.it/i3G,3.5
2020-06-30,Zombieland: Double Tap,2019,https://boxd.it/bgb6,2
2020-06-30,First Reformed,2017,https://boxd.it/go9C,3.5
2020-06-30,Dallas Buyers Club,2013,https://boxd.it/4O8G,4
2020-06-30,Thor: Ragnarok,2017,https://boxd.it/8MHi,4
2020-07-01,The Invisible Man,2020,https://boxd.it/kWlA,3
2020-07-01,Ex Machina,2014,https://boxd.it/7T2k,3.5
2020-07-01,Roma,2018,https://boxd.it/f69M,4.5
2020-07-02,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,4
2020-07-02,Gringo,2018,https://boxd.it/bj4C,1
2020-07-02,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,3.5
2020-07-03,The Great Gatsby,2013,https://boxd.it/JY,2
2020-07-03,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,5
2020-07-03,The World's End,2013,https://boxd.it/3EiO,4.5
2020-07-04,John Wick,2014,https://boxd.it/7dEc,3.5
2020-07-04,John Wick: Chapter 3 - Parabellum,2019,https://boxd.it/gmFw,3.5
2020-07-08,The Proposal,2009,https://boxd.it/1HiS,2.5
2020-07-08,Ghost in the Shell,1995,https://boxd.it/1YYc,3
2020-07-08,Blonde and Blonder,2008,https://boxd.it/1X2G,0.5
2020-07-08,The Incredible Hulk,2008,https://boxd.it/28dU,1.5
2020-07-08,Parasite,2019,https://boxd.it/hTha,4.5
2020-07-08,The Social Network,2010,https://boxd.it/17ue,5
2020-07-08,The Dark Knight,2008,https://boxd.it/2b0k,4.5
2020-07-08,Avengers: Endgame,2019,https://boxd.it/9vE4,3.5
2020-07-08,Guardians of the Galaxy,2014,https://boxd.it/3VH2,3
2020-07-08,The Shape of Water,2017,https://boxd.it/dZ5m,3.5
2020-07-08,Deadpool,2016,https://boxd.it/9fOC,3
2020-07-08,Valentine's Day,2010,https://boxd.it/1gui,2
2020-07-09,Made of Honor,2008,https://boxd.it/1VsC,2
2020-07-11,Ivory Tower,2014,https://boxd.it/7lcK,3
2020-07-11,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,4
2020-07-12,The Platform,2019,https://boxd.it/mUm6,2.5
2020-07-13,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
2020-07-15,Hustlers,2019,https://boxd.it/jIBM,2
